1     : Objective function type, 1=r2,2=NS
0.9   : when this values of obj fn is reached, process terminates
141   : number of data points 

num    month  year  obser_value
1	     1    1990	   46.27
2	     2    1990	   59.36
3	     3    1990	  143.55
4	     4    1990	  233.87
5	     5    1990	   91.64
6	     6    1990	    6.96
7	     7    1990	    0.97
8	     8    1990	    0.48
9	     9    1990	    0.85
10	     10   1990	   10.82
11	     11   1990	   28.09
12	     12   1990	   40.01
13	     1    1991	   48.17
14	     2    1991	    56.7
15	     3    1991	  213.42
16	     4    1991	   329.3
17	     5    1991	   72.67
18	     6    1991	   10.33
19	     7    1991	    2.97
20	     8    1991	    0.72
21	     9    1991	     3.1
22	     10   1991	   22.89
23	     11   1991	   36.41
24	     12   1991	   72.68
25	     1    1992	   66.18
26	     2    1992	   97.11
27	     3    1992	  150.59
28	     4    1992	  458.17
29	     5    1992	  423.71
30	     6    1992	   241.7
31	     7    1992	   43.45
32	     8    1992	   15.97
33	     9    1992	   23.64
34	     10   1992	   40.43
35	     11   1992	   57.03
36	     12   1992	   72.39
37	     1    1993	   61.62
38	     2    1993	    77.9
39	     3    1993	  173.65
40	     4    1993	   415.1
41	     5    1993	  277.35
42	     6    1993	   73.37
43	     7    1993	   10.47
44	     8    1993	   13.22
45	     9    1993	   10.85
46	     10   1993	   23.26
47	     11   1993	  129.69
48	     12   1993	  138.77
49	     1    1994	  201.98
50	     2    1994	  155.27
51	     3    1994	  448.42
52	     4    1994	  459.18
53	     5    1994	  226.21
54	     6    1994	   59.33
55	     7    1994	   16.13
56	     8    1994	    4.81
57	     9    1994	   16.58
58	     10   1994	   62.24
59	     11   1994	  256.36
60	     12   1994	  122.72
61	     1    1995	     115
62	     2    1995	  146.21
63	     3    1995	  225.84
64	     4    1995	  340.77
65	     5    1995	  326.32
66	     6    1995	  197.05
67	     7    1995	   31.15
68	     8    1995	   11.44
69	     9    1995	    19.1
70	     10   1995	    44.6
71	     11   1995	   50.49
72	     12   1995	   55.73
73	     1    1996	   69.22
74	     2    1996	  111.11
75	     3    1996	  155.42
76	     4    1996	  631.67
77	     5    1996	     255
78	     6    1996	   26.42
79	     7    1996	   17.91
80	     8    1996	    6.51
81	     9    1996	   17.54
82	     10   1996	   36.08
83	     11   1996	   52.35
84	     12   1996	    59.1
85	     1    1997	   55.59
86	     2    1997	   60.89
87	     3    1997	   88.39
88	     4    1997	  219.33
89	     5    1997	  134.92
90	     6    1997	   31.59
91	     7    1997	   14.52
92	     8    1997	    0.42
93	     9    1997	       2
94	     10   1997	   14.25
95	     11   1997	    58.4
96	     12   1997	   53.36
97	     1    1998	   52.18
98	     2    1998	   83.91
99	     3    1998	  305.77
100	     4    1998	  497.13
101	     5    1998	   184.2
102	     6    1998	   30.97
103	     7    1998	    4.65
104	     8    1998	    5.04
105	     9    1998	     5.6
106	     10   1998	   20.71
107	     11   1998	   38.69
108	     12   1998	    40.4
109	     1    1999	   48.58
110	     2    1999	   56.58
111	     3    1999	   57.89
112	     4    1999	   60.84
113	     5    1999	   13.46
114	     6    1999		1.59
115	     7    1999		2.69
116	     8    1999		4.98
117	     9    1999		2.63
118	     10   1999		6.33
119	     11   1999		19.65
120	     12   1999		26.81
121	     1    2000		29.21
122	     2    2000		32.03
123	     3    2000		111.7
124	     4    2000		127.1
125	     5    2000		23.69
126	     6    2000		2.26
127	     7    2000		0.55
128	     8    2000		0.27
129	     9    2000		0.22
130	     10   2000		0.77
131	     11   2000		10.32
132	     12   2000		25.84
133	     1    2001		30.22
134	     2    2001		39.67
135	     3    2001		70.37
136	     4    2001		47.97
137	     5    2001		13.91
138	     6    2001		0.35
139	     7    2001		0.25
140	     8    2001		0.2
141	     9    2001		0.19
