reach(subbasin) number:       3


year    month    simu_value
1990       1      0.1097E-01
1990       2      0.2742E+00
1990       3      0.1776E+02
1990       4      0.3912E+02
1990       5      0.2572E+02
1990       6      0.3579E+01
1990       7      0.0000E+00
1990       8      0.0000E+00
1990       9      0.0000E+00
1990      10      0.0000E+00
1990      11      0.0000E+00
1990      12      0.7756E-05
1991       1      0.0000E+00
1991       2      0.0000E+00
1991       3      0.2691E+02
1991       4      0.6031E+02
1991       5      0.3980E+02
1991       6      0.1390E+02
1991       7      0.5610E+00
1991       8      0.0000E+00
1991       9      0.0000E+00
1991      10      0.0000E+00
1991      11      0.3228E+00
1991      12      0.1113E+02
1992       1      0.5599E+01
1992       2      0.1174E+02
1992       3      0.3527E+02
1992       4      0.6493E+02
1992       5      0.7082E+02
1992       6      0.4918E+02
1992       7      0.1479E+02
1992       8      0.1447E+01
1992       9      0.0000E+00
1992      10      0.0000E+00
1992      11      0.3815E-01
1992      12      0.1567E+02
1993       1      0.1247E+02
1993       2      0.1092E+02
1993       3      0.3004E+02
1993       4      0.3888E+02
1993       5      0.4777E+02
1993       6      0.3012E+02
1993       7      0.5233E+01
1993       8      0.0000E+00
1993       9      0.0000E+00
1993      10      0.0000E+00
1993      11      0.1294E+00
1993      12      0.2153E+02
1994       1      0.4507E+02
1994       2      0.4154E+02
1994       3      0.6468E+02
1994       4      0.6078E+02
1994       5      0.6627E+02
1994       6      0.3732E+02
1994       7      0.9101E+01
1994       8      0.3695E-01
1994       9      0.0000E+00
1994      10      0.0000E+00
1994      11      0.1048E+02
1994      12      0.2752E+02
1995       1      0.2162E+02
1995       2      0.4426E+02
1995       3      0.3077E+02
1995       4      0.3522E+02
1995       5      0.7069E+02
1995       6      0.5997E+02
1995       7      0.3116E+02
1995       8      0.6167E+01
1995       9      0.1823E-01
1995      10      0.0000E+00
1995      11      0.0000E+00
1995      12      0.0000E+00
1996       1      0.0000E+00
1996       2      0.0000E+00
1996       3      0.1166E+02
1996       4      0.4642E+02
1996       5      0.5199E+02
1996       6      0.2464E+02
1996       7      0.3866E+01
1996       8      0.0000E+00
1996       9      0.0000E+00
1996      10      0.0000E+00
1996      11      0.0000E+00
1996      12      0.0000E+00
1997       1      0.0000E+00
1997       2      0.0000E+00
1997       3      0.0000E+00
1997       4      0.0000E+00
1997       5      0.0000E+00
1997       6      0.0000E+00
1997       7      0.0000E+00
1997       8      0.0000E+00
1997       9      0.0000E+00
1997      10      0.0000E+00
1997      11      0.0000E+00
1997      12      0.0000E+00
1998       1      0.9195E-04
1998       2      0.0000E+00
1998       3      0.4897E+02
1998       4      0.7637E+02
1998       5      0.5188E+02
1998       6      0.1653E+02
1998       7      0.1255E+01
1998       8      0.0000E+00
1998       9      0.0000E+00
1998      10      0.0000E+00
1998      11      0.0000E+00
1998      12      0.0000E+00
1999       1      0.0000E+00
1999       2      0.0000E+00
1999       3      0.4770E+00
1999       4      0.5043E+01
1999       5      0.3950E-01
1999       6      0.0000E+00
1999       7      0.0000E+00
1999       8      0.0000E+00
1999       9      0.0000E+00
1999      10      0.0000E+00
1999      11      0.0000E+00
1999      12      0.0000E+00
2000       1      0.0000E+00
2000       2      0.0000E+00
2000       3      0.1340E+02
2000       4      0.3887E+02
2000       5      0.1954E+02
2000       6      0.2351E+01
2000       7      0.0000E+00
2000       8      0.0000E+00
2000       9      0.0000E+00
2000      10      0.0000E+00
2000      11      0.0000E+00
2000      12      0.0000E+00
2001       1      0.0000E+00
2001       2      0.0000E+00
2001       3      0.0000E+00
2001       4      0.0000E+00
2001       5      0.0000E+00
2001       6      0.0000E+00
2001       7      0.0000E+00
2001       8      0.0000E+00
2001       9      0.0000E+00
2001      10      0.0000E+00
2001      11      0.0000E+00
2001      12      0.0000E+00
